PDF Name;Date;Match Details;Match Length;Net Playing Time;Net Playing Time (1st half);Net Playing Time (2nd half);Team Name;Possession;Net Poss. Time;Net Poss. Time (1st half);Net Poss. Time (2nd half);Distance (m);Sprints;High Speed Runs;Sprint Distance (m);Top Speed (Player);Top Speed (Young Player);Top Speed (km/h);Max Distance (Player);Max Distance (Young Player);Max Distance (m);Max Sprints (Player);Max Sprints (Young Player);Max Sprints;Key;Season
Korona Kielce - Miedź Legnica (2).pdf;2019-05-04;Korona Kielce 0 - 0 Miedź Legnica;0.1:35:34;0.0:55:39;0.0:28:25;0.0:27:14;Miedź Legnica;41%;0.0:21:17;0.0:11:20;0.0:9:57;111439,24;80;490;1322,14;Żyro M.;False;32,74;Fernandez B.;False;11905,66;Pikk A.;False;13;2019-05-04 Korona Kielce 0 - 0 Miedź Legnica;2018/2019
12438_filter_live_1.pdf;2020-07-15;Cracovia 1 - 2 Lech Poznań;0.1:34:45;0.0:54:11;0.0:29:55;0.0:24:16;Cracovia;46%;0.0:24:36;0.0:13:13;0.0:11:23;111639,3;114;555;2069,21;Thiago;False;33,82;Lusiusz S.;True;11925,77;Rapa C.;False;19;2020-07-15 Cracovia 1 - 2 Lech Poznań;2020/2021
12438_filter_live_1.pdf;2020-07-15;Cracovia 1 - 2 Lech Poznań;0.1:34:45;0.0:54:11;0.0:29:55;0.0:24:16;Lech Poznań;54%;0.0:28:45;0.0:16:11;0.0:12:34;108721,2;103;513;1904,82;Jóźwiak K.;True;33,2;Marchwiński F.;True;11737,08;Puchacz T.;True;19;2020-07-15 Cracovia 1 - 2 Lech Poznań;2020/2021
12217_filter_live_1.pdf;2019-09-29;Arka Gdynia 0 - 0 Piast Gliwice;0.1:39:13;0.0:51:56;0.0:25:1;0.0:26:55;Arka Gdynia;54%;0.0:26:44;0.0:12:20;0.0:14:24;111685,09;87;499;1554,74;Jankowski M.;False;32,32;Nalepa M.;False;11201,8;Nalepa M.;False;12;2019-09-29 Arka Gdynia 0 - 0 Piast Gliwice;2019/2020
12217_filter_live_1.pdf;2019-09-29;Arka Gdynia 0 - 0 Piast Gliwice;0.1:39:13;0.0:51:56;0.0:25:1;0.0:26:55;Piast Gliwice;46%;0.0:23:57;0.0:12:10;0.0:11:47;108163,86;83;487;1560,43;Mokwa T.;False;33,27;Milewski S.;False;11474,71;Kirkeskov M.;False;14;2019-09-29 Arka Gdynia 0 - 0 Piast Gliwice;2019/2020
12617_filter_live_1.pdf;2021-02-26;Warta Poznań 1 - 2 Lech Poznań;0.1:37:25;0.0:56:44;0.0:27:43;0.0:29:1;Warta Poznań;39%;0.0:21:16;0.0:10:15;0.0:11:1;114985,55;86;518;1522,37;Żurawski M.;True;33,36;Żurawski M.;True;11651,53;Żurawski M.;True;14;2021-02-26 Warta Poznań 1 - 2 Lech Poznań;2020/2021
12617_filter_live_1.pdf;2021-02-26;Warta Poznań 1 - 2 Lech Poznań;0.1:37:25;0.0:56:44;0.0:27:43;0.0:29:1;Lech Poznań;61%;0.0:34:47;0.0:17:19;0.0:17:28;115804,74;85;575;1691,94;Puchacz T.;True;33,38;Sykora J.;False;12353,01;Puchacz T.;True;13;2021-02-26 Warta Poznań 1 - 2 Lech Poznań;2020/2021
12523_filter_live_1.pdf;2020-11-21;KGHM Zagłębie Lubin 2 - 2 PGE FKS Stal Mielec;0.1:38:51;0.0:53:7;0.0:26:18;0.0:26:49;KGHM Zagłębie Lubin;61%;0.0:33:9;0.0:15:16;0.0:17:53;117030,68;93;553;1975,52;Szysz P.;False;32,04;Poręba Ł.;True;11937,1;Szysz P.;False;21;2020-11-21 KGHM Zagłębie Lubin 2 - 2 PGE FKS Stal Mielec;2020/2021
12523_filter_live_1.pdf;2020-11-21;KGHM Zagłębie Lubin 2 - 2 PGE FKS Stal Mielec;0.1:38:51;0.0:53:7;0.0:26:18;0.0:26:49;PGE FKS Stal Mielec;39%;0.0:19:39;0.0:10:57;0.0:8:42;115998,17;114;584;2298,84;Tomczyk P.;False;32,66;Domański M.;False;12514,54;Domański M.;False;18;2020-11-21 KGHM Zagłębie Lubin 2 - 2 PGE FKS Stal Mielec;2020/2021
12238_filter_live_1.pdf;2019-10-19;Legia Warszawa 2 - 1 Lech Poznań;0.1:33:11;0.0:56:45;0.0:26:36;0.0:30:9;Legia Warszawa;53%;0.0:29:50;0.0:15:7;0.0:14:43;111170,39;116;508;2159,06;Niezgoda J.;False;33,69;Wszołek P.;False;11311,16;Novikovas A.;False;25;2019-10-19 Legia Warszawa 2 - 1 Lech Poznań;2019/2020
